Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9C0A6;Q9C0A6-2;Q9C0A6-3	Q9C0A6;Q9C0A6-2;Q9C0A6-3	SETD5_HUMAN	SETD5	Histone-lysine N-methyltransferase SETD5	64416
Q9C0B0	Q9C0B0	UNK_HUMAN	UNK	RING finger protein unkempt homolog	52478
Q9C0B1	Q9C0B1	FTO_HUMAN	FTO	Alpha-ketoglutarate-dependent dioxygenase FTO	123480
Q9C0B5;Q9C0B5-2	Q9C0B5;Q9C0B5-2	ZDHC5_HUMAN	ZDHHC5	Palmitoyltransferase ZDHHC5	102986
Q9C0B7	Q9C0B7	TNG6_HUMAN	TANGO6	Transport and Golgi organization protein 6 homolog	112829
Q9C0C2	Q9C0C2;Q9C0C2-2	TB182_HUMAN	TNKS1BP1	182 kDa tankyrase-1-binding protein	311946
Q9C0C4	Q14563;O95025;Q13214;Q13214-2;Q9H3S1;Q9H3S1-2;Q99985;Q99985-2;Q9C0C4;O95754;O95754-2	SEM4C_HUMAN	SEMA4C	Semaphorin-4C	51964
Q9C0C7;Q9C0C7-2;Q9C0C7-3;Q9C0C7-4;Q9C0C7-5;Q9C0C7-6	Q9C0C7;Q9C0C7-2;Q9C0C7-3;Q9C0C7-4;Q9C0C7-5;Q9C0C7-6	AMRA1_HUMAN	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1	46467
Q9C0C9	Q9C0C9	UBE2O_HUMAN	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme	140387
Q9C0D2;Q9C0D2-3	Q9C0D2;Q9C0D2-2;Q9C0D2-3;Q9C0D2-4	CE295_HUMAN	CEP295	Centrosomal protein of 295 kDa	241407
Q9C0D3	Q9C0D3	ZY11B_HUMAN	ZYG11B	Protein zyg-11 homolog B	20859
Q9C0D5	Q9C0D5;Q9C0D5-2	TANC1_HUMAN	TANC1	Protein TANC1	433824
Q9C0E2	Q9C0E2	XPO4_HUMAN	XPO4	Exportin-4	395885
Q9C0E8;Q9C0E8-2	Q9C0E8;Q9C0E8-2;Q9C0E8-4	LNP_HUMAN	LNPK	Endoplasmic reticulum junction formation protein lunapark	168881
Q9C0F0;Q9C0F0-2	Q9C0F0;Q9C0F0-2	ASXL3_HUMAN	ASXL3	Putative Polycomb group protein ASXL3	103975
